,Lat,Temp,Humidity,Cloudiness,Windspeed
170,-21.21,29.0,66,75,4.6
171,45.6,4.0,86,90,1.36
172,-30.97,11.46,49,0,3.06
173,7.34,25.16,74,12,5.01
174,33.19,7.51,97,90,1.5
175,-33.69,21.61,98,92,3.46
176,19.71,25.0,64,90,5.1
177,51.68,-4.34,73,80,7.06
178,38.18,6.0,70,0,1.31
179,39.62,-5.25,95,1,2.1
180,-37.83,33.0,17,0,5.1
181,62.45,-30.0,74,40,3.1
182,31.34,10.0,53,1,3.1
183,47.88,-11.54,84,76,2.11
184,-19.55,26.41,100,80,5.21
185,-31.68,8.11,92,0,1.21
186,-7.84,23.0,83,90,4.6
187,69.7,-25.24,100,56,7.01
188,35.36,10.91,100,92,8.41
189,69.44,-25.0,75,20,3.6
190,-23.31,23.24,73,20,5.1
191,1.49,24.0,100,40,1.0
192,-3.71,27.0,88,40,1.0
193,34.78,15.13,93,75,9.3
194,62.78,-3.0,92,90,3.6
195,65.99,-9.94,83,64,2.46
196,-10.62,28.61,99,36,6.36
197,-18.83,23.61,61,0,2.76
198,35.6,-11.14,70,88,1.06
199,64.57,-48.04,0,8,0.91
200,-34.42,9.31,95,24,0.96
201,45.29,7.0,45,0,4.6
202,69.41,-10.69,78,80,9.66
203,-2.52,21.0,88,40,4.1
204,-0.28,21.66,99,80,0.96
205,-32.49,35.0,24,0,4.1
206,13.6,11.41,39,8,4.66
207,-24.88,34.46,34,0,5.16
208,69.35,-12.09,80,80,9.81
209,-16.48,28.21,100,76,7.81
210,20.89,25.04,56,40,2.6
211,-35.71,32.26,50,0,2.56
212,50.32,0.0,94,90,3.6
213,10.31,12.66,59,0,1.46
214,39.91,-1.0,74,75,2.6
215,4.42,26.0,94,75,0.5
216,-5.2,26.0,88,40,2.1
217,-21.35,24.96,100,24,9.96
218,-25.04,24.76,100,88,3.26
219,-19.8,29.0,79,20,3.1
220,27.52,18.0,68,90,1.5
221,70.0,-42.34,0,48,1.61
222,-29.06,20.66,93,100,1.06
223,26.51,8.66,93,76,1.16
224,-22.92,27.49,74,0,0.5
225,-8.49,28.91,93,80,2.21
226,25.6,8.81,85,12,0.61
227,8.2,25.46,82,88,2.86
228,28.66,17.0,63,0,3.6
